player_hand,dealer_upcard,result
6D-6H,2D,1
JH-JD,JC,0
10H-10D,5S,0
8S-8H,3S,1
2C-2D,QH,0
JC-JH,3D,0
QS-QD,5H,0
KH-KS,JC,0
2C-2H,9H,0
3D-3C,QD,0
7H-7C,JC,0
5C-5D,JD,0
AH-AC,QH,1
2D-2C,8S,0
2H-2S,8H,0
5S-5C,AC,0
KD-KC,JS,0
7S-7C,6D,1
10S-10C,JC,0
KC-KH,7S,0
AC-AD,AH,1
3D-3C,6S,1
4C-4S,KD,0
4C-4S,4H,0
KS-KC,6C,0
8H-8S,JH,1
10D-10C,9C,0
10H-10D,2C,0
5S-5H,2D,0
10D-10C,3C,0
AH-AS,KS,1
KS-KC,3H,0
JD-JH,7S,0
5C-5S,2H,0
7S-7H,2D,1
AC-AD,8H,1
8C-8H,4H,1
5C-5S,KD,0
KH-KC,2S,0
QC-QH,3H,0
3S-3H,5D,1
6D-6H,8D,0
3H-3S,KH,0
7H-7C,8H,0
5H-5S,6D,0
8S-8D,JH,1
AD-AC,KH,1
8C-8S,AS,1
AH-AD,JS,1
7D-7C,QC,0
3D-3S,9S,0
KS-KD,5S,0
8H-8S,6C,1
8H-8C,6C,1
8C-8H,JD,1
KD-KS,2S,0
8H-8C,JS,1
JD-JC,KH,0
10H-10S,9H,0
3C-3H,6S,1
5C-5H,10H,0
7S-7C,9D,0
6H-6C,2D,1
3C-3S,JS,0
QD-QS,5S,0
5C-5D,8S,0
7C-7S,5S,1
6D-6H,8H,0
QH-QC,6C,0
7H-7S,4H,1
6C-6S,6H,1
4C-4H,JD,0
10C-10D,4S,0
KH-KC,7H,0
JS-JC,7H,0
3S-3H,JD,0
2D-2C,6D,1
QC-QH,9D,0
10H-10S,QS,0
KH-KC,AS,0
2H-2D,5H,1
5C-5H,9H,0
AC-AS,3C,1
2H-2S,JC,0
10C-10S,7H,0
8H-8D,4C,1
7D-7S,9S,0
AC-AH,KS,1
2D-2C,6C,1
2C-2H,6C,1
2H-2S,6C,1
5D-5H,QH,0
AC-AH,8C,1
10H-10D,6D,0
5D-5H,QH,0
KS-KD,2D,0
10D-10C,6D,0
JS-JC,2C,0
AC-AD,3D,1
6S-6H,8S,0
6D-6S,2C,1
2C-2H,7H,1
JH-JD,9D,0
3D-3H,2H,1
AD-AH,7S,1
7S-7C,JH,0
5D-5C,2C,0
QH-QC,9C,0
9S-9H,JH,0
5C-5S,KC,0
JC-JH,10S,0
QS-QC,JD,0
10S-10D,5C,0
9S-9H,8D,1
6D-6H,QH,0
9H-9D,QD,0
3C-3D,4S,1
10H-10S,9D,0
5C-5S,10S,0
5C-5H,4D,0
QH-QS,3H,0
7C-7H,8C,0
JH-JC,2H,0
4S-4D,KH,0
KD-KH,KS,0
4D-4C,2H,0
10C-10D,QC,0
5H-5D,5C,0
2H-2S,QS,0
AD-AH,4H,1
6H-6S,8H,0
3H-3D,8D,0
QH-QD,6H,0
KS-KC,AD,0
10H-10D,7S,0
6S-6H,10H,0
AS-AH,10H,1
5C-5D,3D,0
9H-9C,5C,1
8D-8C,9S,1
2C-2H,9S,0
KS-KC,7D,0
10D-10S,8H,0
7S-7D,7C,1
AS-AC,8H,1
5S-5D,8H,0
KD-KC,3C,0
6H-6S,3D,1
5C-5D,AD,0
4C-4D,QC,0
5H-5S,7H,0
8D-8C,AH,1
KS-KH,3H,0
AD-AH,9H,1
6S-6H,10D,0
8D-8H,QC,1
8D-8C,QC,1
10C-10H,AS,0
JS-JH,3D,0
JS-JD,4S,0
3D-3S,7S,1
KH-KS,2D,0
7D-7S,9D,0
QD-QC,3C,0
8C-8D,4C,1
JS-JH,5C,0
10C-10H,6S,0
9S-9D,JS,0
9D-9S,AS,0
QD-QH,2S,0
JD-JC,QS,0
8D-8S,2H,1
8S-8C,2H,1
10D-10S,8H,0
KC-KH,3S,0
4H-4C,6S,1
2S-2H,6C,1
8D-8H,3H,1
3D-3H,8D,0
8S-8C,10D,1
8C-8D,KC,1
5C-5D,10S,0
KD-KS,6C,0
10H-10C,7H,0
JH-JC,QS,0
3C-3S,2S,1
KC-KS,6S,0
QC-QH,6C,0
AH-AC,4S,1
5C-5S,7S,0
4C-4D,QH,0
4C-4S,7D,0
KH-KS,5D,0
10H-10C,3S,0
AH-AC,5S,1
QC-QH,2D,0
JS-JD,9H,0
10C-10S,8S,0
JH-JC,8D,0
5H-5C,KH,0
2C-2S,QH,0
7D-7H,6S,1
7S-7D,6H,1
KC-KD,3D,0
JD-JC,AD,0
9D-9C,3D,1
9C-9H,3D,1
5H-5S,2H,0
6C-6H,7H,0
8D-8S,8H,1
QC-QH,7H,0
9S-9C,8H,1
4C-4D,2H,0
4D-4H,8D,0
AD-AC,QD,1
4C-4S,9D,0
10H-10S,QH,0
QD-QC,3D,0
4S-4C,2D,0
3S-3H,8H,0
8C-8D,6C,1
6D-6H,KD,0
5S-5C,8C,0
AS-AC,5H,1
8S-8H,6D,1
6C-6D,JD,0
JC-JH,2H,0
5D-5H,7D,0
9D-9S,3D,1
3H-3D,10H,0
JH-JC,JD,0
4C-4D,6C,1
4H-4D,2H,0
6C-6S,QS,0
4H-4S,KD,0
10H-10D,2S,0
QD-QS,4S,0
3C-3S,9H,0
JH-JS,2S,0
5D-5S,QH,0
2H-2S,6C,1
7H-7S,6S,1
9D-9H,8S,1
6D-6H,AC,0
6H-6C,8H,0
4S-4H,5D,1
6S-6C,10C,0
KH-KS,9D,0
8C-8S,2D,1
8C-8D,2D,1
5H-5D,4C,0
9C-9H,3H,1
4H-4S,9C,0
2C-2H,7S,1
KC-KD,AC,0
AC-AD,9S,1
3H-3D,AD,0
2C-2D,QH,0
JD-JS,2D,0
8D-8H,7C,1
8H-8C,7C,1
3S-3C,8C,0
6D-6H,9C,0
5C-5D,KC,0
7S-7D,8S,0
3S-3C,10S,0
3D-3H,10H,0
AH-AS,8C,1
JH-JD,4C,0
3C-3H,2S,1
3C-3S,2S,1
5D-5H,AD,0
JD-JH,9D,0
JH-JD,8D,0
6H-6C,JC,0
8S-8C,7C,1
8C-8D,9S,1
7S-7H,4H,1
JH-JD,QC,0
6D-6H,7C,0
10D-10S,10C,0
10S-10D,3S,0
4C-4H,2D,0
9D-9C,10D,0
9H-9C,QC,0
8H-8C,7S,1
5H-5S,6H,0
6S-6C,10S,0
10H-10D,9D,0
10D-10H,9S,0
9D-9C,2C,1
9S-9D,4H,1
10C-10D,5H,0
AC-AS,2D,1
3D-3H,4D,1
5D-5S,QD,0
QC-QH,3C,0
6D-6C,9S,0
3H-3D,JD,0
6C-6D,9S,0
KS-KC,KD,0
6S-6D,7S,0
2C-2D,JS,0
KS-KC,4H,0
8S-8H,5S,1
7S-7D,QC,0
7S-7H,6D,1
7S-7D,JD,0
4C-4H,KH,0
6C-6D,5H,1
3D-3S,KD,0
KD-KH,10H,0
9C-9D,10C,0
10S-10H,QC,0
6C-6H,4C,1
8C-8D,6H,1
2S-2D,2H,1
2D-2C,2H,1
4C-4H,AD,0
9C-9H,8S,1
AD-AS,KH,1
6S-6D,8C,0
AH-AD,QH,1
5C-5H,AS,0
2C-2D,5C,1
KD-KC,10H,0
8S-8H,3S,1
10C-10S,2D,0
QS-QD,AS,0
KH-KS,5H,0
5S-5D,7D,0
3H-3D,6S,1
KS-KC,KD,0
5C-5S,5D,0
KC-KS,9S,0
4S-4H,6C,1
AD-AH,2C,1
10H-10D,KS,0
2C-2D,5S,1
8D-8C,AS,1
9D-9C,6H,1
7D-7H,10S,0
10S-10H,2C,0
QS-QD,6S,0
3C-3D,QD,0
5D-5H,4S,0
8H-8S,2D,1
6S-6D,2D,1
AH-AD,2D,1
KH-KD,QS,0
9C-9S,2S,1
4C-4D,8H,0
KH-KD,JD,0
2D-2C,3C,1
9C-9S,5C,1
8D-8C,7C,1
KD-KS,6D,0
5H-5C,6S,0
2D-2S,6S,1
4C-4S,5C,1
6D-6C,2C,1
6C-6S,2C,1
AD-AC,9C,1
4D-4C,8H,0
10S-10C,2S,0
QH-QD,5S,0
4D-4C,KD,0
8H-8C,10D,1
3D-3S,4C,1
3D-3C,4C,1
10C-10S,7H,0
6D-6C,9C,0
AC-AH,10H,1
6H-6C,10S,0
7H-7C,9D,0
2H-2D,6D,1
3D-3H,6S,1
AD-AH,10C,1
KS-KD,3H,0
AD-AC,KD,1
4H-4C,9C,0
KC-KH,2S,0
JH-JC,5S,0
7C-7H,JC,0
9H-9C,2H,1
8C-8D,5H,1
8D-8S,2C,1
10C-10S,9C,0
10S-10D,JH,0
3H-3D,4C,1
AH-AS,6C,1
10D-10H,8H,0
9C-9H,QH,0
4C-4S,4D,0
4S-4D,7S,0
4D-4H,2D,0
10H-10C,10S,0
AC-AD,8H,1
6H-6S,4C,1
8S-8D,JD,1
7C-7H,6D,1
3S-3D,KC,0
7C-7D,8D,0
AC-AH,5H,1
JC-JS,10H,0
2H-2S,7S,1
JH-JD,3H,0
9H-9C,6H,1
7S-7D,7H,1
2C-2H,AS,0
10H-10C,3S,0
AS-AH,7D,1
3H-3S,9C,0
5S-5C,QD,0
8S-8H,JS,1
8S-8C,JS,1
JH-JD,KC,0
4C-4H,5H,1
10S-10H,7C,0
9C-9H,3H,1
7C-7S,2D,1
8H-8D,9H,1
7H-7C,5D,1
5C-5D,2C,0
AS-AH,9C,1
10D-10S,KD,0
3C-3S,QH,0
AH-AC,QS,1
10S-10H,JD,0
8S-8D,6H,1
7H-7C,10D,0
JS-JD,3H,0
5C-5H,JC,0
7D-7H,6C,1
KD-KC,6H,0
10S-10H,JD,0
10S-10C,7C,0
KD-KS,6H,0
2H-2D,7D,1
4D-4C,QD,0
6S-6D,4S,1
2C-2D,10C,0
7C-7D,5D,1
5D-5C,JC,0
9H-9S,AH,0
3S-3H,AH,0
4H-4S,6D,1
5S-5C,KS,0
KH-KC,4C,0
5D-5C,6S,0
10C-10D,7H,0
9C-9S,10C,0
6C-6S,QH,0
JD-JH,4C,0
5H-5S,7S,0
9H-9C,2S,1
AS-AH,5H,1
2S-2C,9H,0
5H-5D,3D,0
JD-JC,8S,0
3H-3C,6D,1
9H-9S,QD,0
7H-7D,KH,0
7D-7H,AD,0
5C-5H,5S,0
10H-10C,7H,0
KH-KS,4D,0
7D-7C,10S,0
7H-7S,QS,0
4C-4H,8S,0
2H-2S,6S,1
AS-AC,2D,1
4H-4D,5C,1
QD-QH,3C,0
KD-KH,2D,0
9S-9C,8S,1
8C-8S,9S,1
3D-3C,7D,1
9D-9S,QD,0
3D-3C,JD,0
KD-KC,2H,0
9H-9C,2D,1
AC-AD,6H,1
AS-AD,2D,1
8D-8C,QS,1
10C-10D,9C,0
10D-10C,10S,0
7H-7C,KS,0
3H-3D,5C,1
6H-6S,2C,1
3D-3C,5H,1
9S-9D,KC,0
2H-2C,7H,1
2C-2S,7H,1
8S-8D,2C,1
5S-5C,8H,0
7D-7C,KS,0
9C-9D,KS,0
KH-KD,5H,0
7D-7S,4H,1
7D-7H,4H,1
QS-QD,7S,0
8S-8H,3C,1
KC-KD,6D,0
KC-KD,7C,0
2H-2C,8D,0
2S-2H,AS,0
KH-KS,AC,0
QD-QC,JC,0
JS-JC,QC,0
2D-2H,9D,0
5H-5C,KS,0
QS-QD,3D,0
3C-3S,9D,0
6H-6S,JS,0
2D-2C,JD,0
4H-4S,8D,0
JD-JH,10D,0
9C-9D,5D,1
9D-9H,5D,1
3C-3H,KH,0
3C-3S,6S,1
JH-JS,7S,0
7C-7D,4C,1
10D-10S,QD,0
4S-4H,AS,0
3H-3C,KH,0
6C-6D,KH,0
JH-JD,2H,0
2S-2H,3D,1
AD-AH,8S,1
4D-4S,7C,0
AH-AC,7C,1
2C-2D,JH,0
8S-8C,10S,1
3S-3H,5D,1
KH-KC,4S,0
3C-3D,10H,0
5C-5D,5S,0
AD-AH,4D,1
4H-4C,JD,0
5S-5C,2H,0
AC-AH,3S,1
JD-JC,JS,0
2H-2D,AH,0
AC-AH,2H,1
3C-3H,9D,0
9D-9H,6H,1
7D-7H,JS,0
QC-QS,8S,0
2C-2H,6D,1
4H-4S,AS,0
2S-2H,JS,0
3C-3D,2C,1
2D-2H,KC,0
6S-6D,5S,1
10C-10H,4S,0
QH-QD,7H,0
8D-8C,JH,1
KD-KS,2C,0
6D-6H,6C,1
3D-3H,AC,0
9H-9D,9C,1
4S-4D,2C,0
3D-3S,10C,0
KH-KD,3S,0
AS-AC,KH,1
KC-KH,8C,0
AS-AD,7S,1
8C-8D,AC,1
8D-8S,AC,1
7C-7H,8S,0
3D-3H,8H,0
3H-3S,6H,1
5S-5H,3C,0
JS-JH,JC,0
6D-6C,QS,0
6S-6C,8D,0
5C-5S,6H,0
QD-QC,7H,0
9C-9D,AS,0
8S-8D,JS,1
5H-5C,9C,0
9H-9C,JD,0
4S-4D,9D,0
6C-6S,QH,0
AH-AC,5C,1
9H-9S,2C,1
9C-9S,KS,0
9S-9D,10D,0
9S-9D,9H,1
2D-2S,6D,1
3C-3H,4C,1
AD-AS,3H,1
KC-KS,5S,0
2C-2S,5S,1
9H-9S,6S,1
KH-KC,AC,0
5H-5D,KC,0
7S-7C,2H,1
4H-4D,6C,1
AS-AH,5D,1
6C-6D,2D,1
AD-AC,QD,1
6S-6H,4H,1
2C-2D,KS,0
5D-5C,QD,0
JD-JC,7H,0
7D-7S,JC,0
9H-9S,8H,1
10D-10S,9C,0
7C-7D,KS,0
2D-2C,7S,1
10C-10H,4C,0
KD-KC,6S,0
3C-3S,JD,0
8C-8S,KS,1
7S-7C,KC,0
5S-5C,3C,0
5H-5S,10S,0
6S-6D,3H,1
5H-5S,JH,0
JS-JH,2D,0
4D-4H,AH,0
QS-QH,10D,0
6S-6C,AH,0
AS-AH,8H,1
7H-7S,9D,0
5C-5S,JH,0
10C-10H,KD,0
4C-4H,5H,1
AD-AC,3C,1
5D-5C,AH,0
4S-4C,3D,0
9S-9C,8D,1
8H-8D,2C,1
AS-AC,KH,1
10H-10C,AS,0
6C-6S,4H,1
QS-QD,4C,0
3D-3C,9S,0
9D-9C,7D,0
JH-JS,9D,0
6C-6S,JH,0
JC-JD,5S,0
JH-JS,3D,0
KH-KC,KD,0
QH-QD,10H,0
8C-8S,JD,1
10D-10H,JC,0
AC-AS,8H,1
2D-2S,8H,0
QH-QD,3H,0
KC-KH,8D,0
JS-JH,7S,0
8D-8S,4S,1
4D-4C,5H,1
9H-9S,8S,1
AS-AC,6H,1
5S-5C,8D,0
8H-8C,8D,1
9C-9S,5C,1
8S-8H,6S,1
2D-2C,QS,0
8D-8S,5H,1
KC-KD,2C,0
AS-AD,7S,1
JD-JS,2D,0
QH-QD,8S,0
9C-9H,6H,1
AH-AC,3C,1
10D-10C,KH,0
8D-8H,10S,1
3S-3H,6C,1
JS-JC,2D,0
7H-7C,5C,1
7C-7H,JS,0
3S-3C,9D,0
3S-3C,6S,1
6C-6S,3C,1
8C-8D,10C,1
4H-4S,9C,0
JC-JS,3D,0
9C-9H,10S,0
8H-8C,6H,1
10H-10C,5D,0
AH-AC,6D,1
JS-JD,10S,0
9S-9C,7D,0
9H-9D,KD,0
5H-5C,6S,0
10D-10H,6D,0
2C-2D,6H,1
7D-7C,KH,0
9C-9S,JS,0
2H-2D,10S,0
2D-2S,AD,0
4C-4H,7S,0
5C-5D,4D,0
JD-JS,3D,0
AH-AC,KD,1
KH-KC,2C,0
KC-KD,8C,0
6D-6S,KD,0
8H-8D,AS,1
AC-AS,5H,1
KS-KD,10D,0
6C-6H,3D,1
3C-3S,KC,0
KH-KC,3S,0
9C-9S,3D,1
9H-9S,10D,0
AC-AS,9C,1
AH-AD,3C,1
5H-5S,8H,0
6H-6C,4D,1
5S-5H,KD,0
QS-QH,3C,0
9S-9H,JS,0
AD-AH,8C,1
4D-4S,8H,0
4S-4H,2D,0
3S-3C,QD,0
3H-3S,KH,0
QH-QS,5H,0
2C-2H,3C,1
5D-5C,AC,0
9D-9C,QC,0
8D-8H,2S,1
JH-JS,JD,0
QS-QD,JC,0
3H-3S,6S,1
10H-10S,QS,0
QS-QD,5S,0
7D-7S,6C,1
5H-5D,8D,0
5S-5H,7H,0
5D-5H,3H,0
9D-9C,6H,1
9D-9S,6H,1
9D-9H,KH,0
9D-9S,7C,0
5D-5H,4D,0
7S-7D,8H,0
3S-3D,6C,1
3D-3H,6C,1
5S-5C,9C,0
JS-JD,4C,0
QD-QH,2C,0
KH-KS,5S,0
5S-5H,KC,0
JS-JH,6D,0
7C-7S,3S,1
7S-7C,KD,0
QS-QD,10S,0
2H-2D,10S,0
AH-AS,8S,1
QH-QS,5S,0
3S-3D,JH,0
QH-QS,AH,0
10S-10H,8H,0
10H-10C,3H,0
2H-2S,10D,0
8S-8D,AC,1
AC-AS,7C,1
JS-JH,6D,0
9D-9H,JC,0
9C-9D,7H,0
8S-8C,KS,1
QH-QD,6C,0
8S-8H,8C,1
6H-6D,9D,0
10H-10S,7H,0
10D-10C,8S,0
10S-10D,9D,0
9D-9H,AC,0
7S-7H,2C,1
7H-7S,6S,1
AH-AC,QS,1
QH-QC,4C,0
7D-7H,8D,0
JD-JH,QH,0
KS-KD,3D,0
5D-5C,9D,0
4C-4D,4S,0
QD-QS,2D,0
QS-QH,9C,0
9C-9S,QS,0
9H-9C,3D,1
QC-QS,9D,0
9S-9D,5D,1
8H-8D,9H,1
QS-QD,9S,0
6S-6C,KS,0
KC-KD,2D,0
10D-10H,7D,0
9C-9S,8H,1
KC-KH,9S,0
KS-KH,5C,0
KD-KH,4S,0
QH-QC,6C,0
KD-KS,JH,0
KD-KC,7D,0
6D-6C,QC,0
4D-4C,2S,0
5H-5S,7D,0
10H-10C,5H,0
KC-KD,7D,0
JC-JS,7S,0
10H-10C,5S,0
10D-10C,4S,0
4S-4D,JH,0
7D-7H,QS,0
2D-2S,9C,0
9D-9C,8H,1
2D-2S,5D,1
8H-8D,3S,1
KH-KC,4S,0
AS-AD,JD,1
2S-2D,3S,1
AD-AS,10C,1
AH-AC,JH,1
AD-AS,4H,1
AD-AH,3H,1
10C-10D,10H,0
4C-4D,JS,0
5H-5D,AH,0
9C-9H,7C,0
2H-2D,10C,0
9D-9S,5S,1
JC-JS,6C,0
3S-3H,2D,1
3D-3S,7D,1
6C-6S,2C,1
5H-5S,10H,0
7D-7H,2S,1
10S-10H,6C,0
7S-7H,9C,0
2C-2D,7D,1
2C-2S,7D,1
6H-6D,3S,1
3H-3D,8C,0
KD-KH,9H,0
8D-8C,QD,1
QS-QD,AD,0
9C-9H,6H,1
10S-10H,6C,0
AH-AD,2D,1
2D-2H,4C,1
5C-5S,2C,0
4C-4D,QH,0
9D-9H,6C,1
QH-QC,4C,0
9C-9H,JS,0
KS-KD,QC,0
10C-10H,9C,0
2D-2S,3H,1
3D-3S,6C,1
AD-AS,JS,1
7C-7D,7H,1
10C-10S,AS,0
3H-3C,QH,0
8H-8C,KS,1
10S-10D,4H,0
AH-AS,5H,1
9S-9C,10D,0
2D-2S,10D,0
8H-8S,4C,1
8C-8H,JH,1
7H-7S,JS,0
4D-4H,QD,0
7C-7H,AH,0
7D-7C,KC,0
2S-2C,QH,0
3C-3S,9S,0
8C-8H,2H,1
KH-KD,AD,0
9S-9H,4H,1
10D-10S,7D,0
9C-9D,2S,1
9C-9H,2S,1
AH-AD,KD,1
JH-JS,4S,0
7S-7C,9D,0
2D-2H,AH,0
JS-JH,3S,0
9S-9H,2H,1
QH-QC,4D,0
7H-7C,KS,0
10S-10C,AS,0
4D-4S,4C,0
KD-KS,10H,0
8C-8D,6H,1
8C-8H,6H,1
JH-JS,8S,0
KD-KH,3C,0
9D-9H,5H,1
KD-KS,8C,0
JC-JD,AC,0
8S-8C,KH,1
AD-AC,7D,1
2D-2H,JD,0
JD-JC,3S,0
JC-JD,7S,0
AC-AS,8C,1
2C-2S,AS,0
3C-3H,2D,1
QH-QC,QS,0
8S-8D,10H,1
4D-4H,6H,1
7H-7S,9C,0
8C-8D,JC,1
8D-8C,10D,1
10H-10S,QH,0
QS-QC,5D,0
6S-6H,6C,1
4D-4C,7S,0
7C-7S,QH,0
KH-KS,QH,0
8S-8H,5C,1
8D-8S,7C,1
JC-JH,3S,0
3D-3S,4D,1
7S-7C,9C,0
4S-4H,AH,0
8S-8D,JH,1
3C-3H,KH,0
QC-QH,10S,0
4S-4C,3D,0
QC-QS,5H,0
4D-4S,5H,1
10H-10C,8C,0
KD-KS,AS,0
QS-QH,7D,0
6C-6D,QD,0
3H-3S,4C,1
AD-AS,KC,1
4H-4C,KC,0
6S-6D,QS,0
2H-2D,4H,1
JC-JD,9H,0
JS-JH,6D,0
5D-5C,3H,0
KS-KC,2S,0
AH-AC,QS,1
4C-4D,8H,0
5S-5D,QS,0
7S-7D,5C,1
5D-5H,AS,0
4C-4S,9D,0
JD-JS,9S,0
10S-10H,8S,0
QC-QS,5D,0
3S-3H,8H,0
3C-3D,KD,0
6H-6S,7S,0
2S-2H,7S,1
5H-5C,7C,0
4C-4H,3D,0
JC-JS,9H,0
JD-JS,3D,0
6D-6C,3S,1
6C-6H,2S,1
2S-2D,3C,1
8D-8H,7C,1
KD-KS,9C,0
5D-5H,9S,0
6S-6C,QD,0
9S-9C,3S,1
7C-7H,9D,0
4S-4H,6C,1
AS-AH,3C,1
5H-5D,10D,0
QS-QH,9H,0
5D-5S,10C,0
JD-JH,6S,0
2C-2D,4S,1
JS-JD,4C,0
JC-JD,3H,0
3S-3D,JD,0
JD-JS,9D,0
2C-2D,AS,0
10S-10D,7H,0
3D-3S,10H,0
KD-KS,8S,0
3S-3H,4S,1
3S-3C,4S,1
10C-10D,JS,0
6H-6S,7S,0
2S-2H,2D,1
JS-JH,9D,0
5S-5D,10C,0
9D-9C,4S,1
3H-3C,7H,1
10D-10H,5C,0
5C-5S,7S,0
3C-3H,8S,0
2H-2S,KS,0
JS-JD,10H,0
2H-2D,5H,1
9S-9C,2D,1
6C-6H,JD,0
JC-JS,KC,0
KS-KH,QH,0
9D-9H,8D,1
7S-7D,AC,0
7S-7H,9H,0
10D-10C,KC,0
AH-AD,5C,1
6S-6C,6H,1
7H-7D,9H,0
6S-6C,8H,0
4H-4D,3H,0
2S-2C,9S,0
7S-7C,8H,0
3S-3D,9C,0
9C-9H,6C,1
AS-AC,5H,1
7C-7H,AD,0
QD-QC,AS,0
AH-AC,QS,1
AC-AS,9C,1
7D-7S,10H,0
10S-10D,8D,0
5C-5D,JS,0
7S-7C,3H,1
10S-10C,9D,0
2S-2C,4C,1
2S-2D,4C,1
5C-5H,AH,0
7H-7S,7C,1
6C-6S,3C,1
6S-6C,7C,0
6H-6S,8H,0
6S-6D,2C,1
JH-JD,QH,0
7D-7C,4C,1
JC-JS,JH,0
JC-JH,6C,0
JS-JH,8C,0
QC-QS,7D,0
QC-QS,8H,0
8C-8S,6C,1
9D-9H,6H,1
2D-2H,KS,0
KS-KD,10H,0
10D-10H,QC,0
8H-8S,7S,1
8H-8D,7S,1
AS-AH,QC,1
4D-4C,2H,0
5H-5S,QH,0
JC-JS,2H,0
10D-10H,JH,0
2S-2H,9D,0
JC-JH,6D,0
3S-3D,KD,0
7D-7C,AS,0
JC-JD,6D,0
4S-4C,8S,0
10H-10D,2C,0
JH-JC,9H,0
KS-KH,5H,0
4D-4S,QD,0
2S-2H,7S,1
2S-2C,7S,1
4S-4C,10S,0
QD-QS,5C,0
JH-JD,2C,0
KC-KH,5C,0
10S-10D,3H,0
7H-7C,KS,0
3D-3C,10C,0
KC-KS,4H,0
JC-JD,2H,0
2H-2C,QS,0
10C-10H,JD,0
AH-AS,10D,1
9S-9H,5D,1
7C-7D,3H,1
7D-7S,2D,1
2H-2D,5D,1
2S-2D,10H,0
9S-9C,6C,1
4S-4H,KS,0
3C-3H,KS,0
8S-8C,JD,1
2D-2C,8S,0
4C-4H,6D,1
QH-QD,QS,0
8D-8H,QS,1
KH-KD,KS,0
10D-10H,9S,0
3H-3D,9C,0
AC-AS,5D,1
9H-9C,7D,0
7S-7C,7H,1
3D-3H,2C,1
QC-QH,KH,0
5S-5D,2C,0
7H-7C,5C,1
7H-7D,5C,1
8D-8H,7C,1
QH-QD,5S,0
6C-6H,QH,0
3H-3S,AH,0
2H-2D,5S,1
2D-2C,5S,1
AH-AC,7C,1
3S-3D,6H,1
AS-AD,6D,1
10C-10H,3H,0
10H-10C,JC,0
10D-10C,JC,0
4D-4C,10S,0
4D-4C,JC,0
AC-AS,2C,1
AS-AH,6H,1
3S-3H,7C,1
JS-JH,4C,0
7H-7D,2C,1
2C-2S,3D,1
KS-KD,7D,0
JD-JS,7D,0
JS-JD,4D,0
3C-3H,4D,1
5H-5S,6C,0
KS-KH,10S,0
5H-5D,3C,0
4D-4S,10H,0
9S-9H,8H,1
3C-3D,9S,0
4D-4H,8C,0
5C-5H,8S,0
8D-8S,10D,1
4D-4H,AD,0
3C-3D,7S,1
3H-3S,4C,1
2C-2H,9C,0
QH-QS,2S,0
9H-9S,5C,1
4H-4D,10H,0
5H-5S,8H,0
JD-JC,QC,0
JD-JH,2S,0
9H-9D,8H,1
2S-2H,KC,0
2S-2C,KH,0
9H-9S,3S,1
KD-KC,8S,0
6D-6S,8H,0
AD-AS,5D,1
3D-3C,JC,0
JC-JH,7C,0
9H-9S,6S,1
9H-9C,5D,1
2D-2S,10S,0
JC-JD,2C,0
9C-9D,7D,0
7S-7C,10S,0
QD-QS,7D,0
8D-8S,2H,1
JH-JD,2C,0
QD-QH,JD,0
5D-5S,2H,0
4S-4C,KS,0
9H-9C,3D,1
3D-3C,7C,1
8D-8C,2H,1
5S-5H,AH,0
7D-7C,8H,0
9C-9S,6C,1
3C-3D,10C,0
JS-JD,AD,0
3S-3D,5S,1
10D-10C,AS,0
5C-5S,2S,0
10H-10C,4D,0
7D-7S,9D,0
7C-7D,6H,1
AS-AC,4C,1
3C-3S,QD,0
10D-10H,KD,0
JD-JH,8H,0
AS-AD,10S,1
8S-8D,9H,1
8S-8H,9H,1
6S-6C,JS,0
7C-7D,2H,1
6H-6C,9C,0
7C-7D,AC,0
2S-2H,9S,0
AH-AD,QS,1
7D-7H,5C,1
JH-JD,QD,0
AD-AS,2D,1
4S-4C,10C,0
7C-7H,AC,0
KC-KS,3H,0
QS-QH,8C,0
5C-5S,JH,0
AC-AS,4D,1
AD-AH,4D,1
2D-2H,2C,1
KD-KS,3D,0
6H-6C,JS,0
3C-3S,JC,0
JS-JH,QD,0
10S-10H,8D,0
2C-2H,7D,1
AC-AD,10S,1
9H-9D,KC,0
JD-JC,6C,0
AD-AH,6H,1
3S-3C,9H,0
5H-5C,JS,0
5S-5D,5C,0
4H-4S,7D,0
8H-8S,9D,1
10S-10C,3D,0
5S-5C,6S,0
3S-3H,5C,1
KD-KH,3H,0
AH-AD,5H,1
3S-3D,4S,1
4H-4D,KD,0
10C-10D,6H,0
6D-6H,5C,1
9S-9H,10H,0
10C-10S,4S,0
8D-8H,QS,1
4S-4D,9D,0
9D-9C,JD,0
10C-10S,AC,0
QS-QH,7C,0
AD-AH,2S,1
AD-AH,JH,1
3C-3H,AS,0
7S-7C,3D,1
8C-8D,3S,1
8H-8S,QS,1
8C-8D,6S,1
QC-QD,JC,0
8H-8D,8C,1
8S-8H,2D,1
4C-4D,6S,1
4C-4H,6S,1
5C-5S,7H,0
AH-AS,QC,1
JS-JD,2H,0
3C-3S,7C,1
QD-QS,6D,0
KD-KH,2C,0
AD-AC,JC,1
4C-4S,7S,0
7D-7C,6S,1
2D-2H,KC,0
10D-10H,5S,0
QC-QS,AC,0
JH-JS,QH,0
7C-7D,10D,0
4C-4S,2H,0
6H-6D,6S,1
6D-6C,6S,1
KH-KC,10H,0
2S-2H,10H,0
4C-4D,KD,0
JH-JS,6D,0
3D-3H,2C,1
4H-4C,10H,0
2S-2H,KC,0
